1	4	4	4	3	3	2
2	4	3	3	1	1	2
3	4	4	3	2	2	2
4	3	3	2	3	3	1
5	3	4	2	4	4	2
6	4	1	4	2	1	2
3	2	1	1	1	1	2
7	4	2	2	4	3	2
8	4	4	2	3	3	2
4	1	2	2	1	4	2
6	4	2	2	2	2	2
6	3	3	2	3	1	1
7	5	1	3	1	4	1
6	4	3	4	3	2	2
7	4	3	2	3	3	2
4	4	4	4	2	3	2
7	4	2	2	2	4	2
9	4	3	3	1	4	1
10	4	4	2	3	4	2
6	4	4	2	2	4	1
8	4	2	1	3	1	2
10	4	2	2	3	1	1
6	4	2	2	3	3	2
10	4	3	3	3	2	1
11	3	2	4	3	3	2
10	4	2	1	3	2	2
7	4	2	1	3	1	2
1	4	4	2	2	2	2
3	4	4	2	3	3	2
12	4	1	2	4	3	1
10	4	3	1	3	2	1
10	4	1	3	1	4	1
10	4	1	2	3	4	1
13	4	4	4	1	4	2
10	5	4	1	1	4	1
12	4	2	1	3	3	2
7	4	1	3	1	3	2
6	4	2	2	3	2	2
3	2	1	4	4	4	2
6	4	3	1	3	3	2
7	4	2	4	3	2	2
13	2	2	4	4	4	1
4	3	2	4	2	4	2
14	2	2	4	4	4	2
4	4	1	2	4	3	2
6	4	3	2	3	4	2
10	4	4	1	3	3	1
15	2	1	4	4	1	1
14	3	2	3	3	3	1
7	4	2	4	1	2	2
1	4	2	2	3	2	1
13	4	4	3	1	4	2
13	2	4	1	1	1	1
9	4	2	2	3	3	1
16	4	2	1	4	3	1
16	4	1	2	3	4	2
6	4	4	2	3	2	2
10	2	2	2	2	4	2
11	3	3	3	2	2	2
4	3	2	3	3	2	1
4	4	3	3	3	4	2
7	5	4	3	4	3	2
3	4	2	4	1	4	2
12	1	1	4	1	4	1
10	4	1	2	4	3	1
6	4	4	2	3	2	2
6	5	2	3	2	4	2
6	4	2	2	3	3	2
6	4	2	2	1	2	2
4	4	3	1	1	4	2
6	5	4	1	1	4	2
17	5	2	4	1	3	1
8	3	2	4	2	4	1
12	4	2	2	1	1	1
10	4	3	4	3	2	2
7	4	3	2	3	4	2
6	4	1	3	1	1	2
7	4	2	4	1	1	1
12	4	4	3	3	2	1
6	4	3	2	1	4	2
10	4	3	1	3	4	2
4	4	4	2	3	2	2
6	4	4	2	3	3	1
6	3	1	4	2	1	2
4	4	2	4	2	1	2
12	4	3	2	3	1	2
6	4	3	2	3	1	2
10	4	2	2	3	3	2
7	4	2	3	3	2	1
12	4	3	2	3	1	2
6	4	3	2	3	3	2
13	4	2	2	3	2	2
12	4	2	3	3	4	2
6	4	2	2	3	2	2
4	4	3	4	4	1	2
6	6	4	2	3	1	2
6	4	1	2	3	4	2
4	4	4	3	3	2	2
2	4	2	2	1	3	1
18	3	3	2	2	4	1
4	4	1	2	4	3	1
6	2	1	2	3	1	1
10	4	2	1	1	1	2
7	4	4	3	3	2	2
1	4	3	2	4	1	1
1	4	1	2	1	3	1
3	4	1	2	4	4	2
5	6	1	2	4	4	2
10	4	1	2	3	3	1
11	4	2	4	3	3	2
5	4	3	2	1	4	1
7	5	3	2	1	4	1
2	4	4	4	3	2	2
10	4	3	2	3	3	2
6	4	2	2	4	3	2
10	4	4	3	4	1	1
1	4	3	2	4	4	2
6	3	4	1	3	3	1
6	4	4	2	3	4	1
7	1	2	1	2	4	1
3	4	3	2	1	2	1
16	4	3	1	3	4	2
19	4	2	3	3	1	2
2	4	4	1	1	1	2
3	4	3	4	1	1	1
10	4	4	4	3	3	2
1	3	2	2	2	1	1
14	2	1	4	4	3	2
14	2	2	4	2	1	2
10	3	2	2	4	4	2
7	4	2	2	3	4	1
1	4	4	4	3	1	2
1	4	2	1	4	1	1
10	4	1	4	3	2	2
7	4	2	3	3	1	2
4	4	2	1	3	3	2
4	4	1	2	3	1	2
6	4	4	4	1	3	2
7	4	1	2	3	2	2
13	3	3	2	3	1	1
4	4	2	2	3	2	2
6	3	4	4	4	3	2
6	4	3	2	3	2	2
7	4	2	2	4	3	2
7	4	2	2	1	2	1
3	4	2	1	3	3	1
12	6	2	4	2	1	1
12	4	3	2	2	2	1
6	4	4	1	3	1	1
6	4	2	2	3	2	2
7	4	1	2	4	2	2
7	1	4	2	4	3	2
1	4	4	1	4	3	2
1	4	3	2	1	4	2
12	4	3	4	1	4	2
7	5	2	1	1	2	2
4	4	2	2	3	3	2
4	4	2	2	3	4	2
1	3	4	2	1	4	2
6	4	4	3	1	3	2
6	4	3	2	3	3	2
10	4	2	2	3	1	2
7	4	4	1	1	3	2
7	4	2	2	3	2	2
1	4	2	2	3	4	2
16	4	3	1	1	2	2
7	4	1	3	3	3	1
1	4	3	3	1	1	1
12	2	2	4	1	1	2
16	4	2	4	2	2	1
6	4	4	2	3	3	2
10	1	3	4	1	3	1
10	5	1	2	4	1	2
15	2	3	4	4	1	2
16	6	2	2	1	1	2
6	4	4	4	2	4	2
13	3	2	3	1	3	1
1	4	2	2	3	4	2
6	4	4	3	1	1	2
4	4	3	2	3	2	2
7	3	3	2	1	3	1
6	6	3	4	2	2	1
10	4	3	1	4	1	2
10	4	3	2	2	1	2
10	1	3	2	2	1	2
6	4	1	3	3	2	1
7	4	4	3	2	3	2
12	4	2	2	3	4	1
12	4	1	2	3	3	1
5	4	3	2	3	2	2
7	4	4	2	3	2	2
10	4	2	4	2	3	2
7	3	4	3	2	4	2
10	5	4	4	3	2	1
7	4	4	2	4	3	1
20	4	3	2	1	4	2
10	4	3	2	3	3	2
2	4	4	1	3	2	1
5	5	1	1	1	3	2
6	4	3	3	1	3	2
14	1	2	4	3	4	1
4	3	2	4	3	2	2
7	4	2	2	1	3	2
16	5	2	2	2	1	2
7	4	1	2	3	3	1
13	3	3	1	3	4	1
6	4	3	1	3	2	2
6	4	2	1	1	2	2
5	3	2	2	1	3	1
6	4	2	4	1	1	2
4	3	3	3	2	1	1
7	4	1	1	3	4	2
10	4	4	2	3	2	2
7	4	3	1	1	4	2
1	4	3	1	3	4	2
7	4	3	2	1	2	1
4	4	4	2	3	4	2
7	1	3	4	4	2	2
16	4	1	2	4	3	1
10	4	4	2	1	3	2
7	4	3	2	3	4	2
6	4	1	3	3	3	2
10	3	3	2	2	2	1
4	4	3	2	3	2	2
8	4	2	2	3	2	1
20	4	2	2	1	1	1
6	4	3	2	2	2	2
20	4	1	3	3	3	2
7	3	2	2	1	2	2
7	1	4	3	2	2	1
7	4	3	3	1	3	1
3	5	1	2	3	3	1
6	3	4	2	1	3	2
10	4	1	2	3	2	2
10	4	3	1	2	1	2
4	4	2	1	1	3	2
1	4	3	2	3	3	1
21	4	2	2	2	3	2
1	4	2	1	3	3	2
7	1	3	2	3	2	2
13	3	4	4	1	2	1
7	3	3	1	1	3	1
7	4	3	1	3	4	2
10	4	2	4	4	4	2
10	4	4	2	3	1	1
12	3	2	2	3	2	1
4	4	1	2	3	3	2
7	4	2	1	2	1	2
3	4	3	2	1	4	1
2	4	1	4	1	4	2
22	4	1	2	4	1	2
